01861	02579	01252	02245	01921	03650	03766	01510	01722	
01862	02581	01253	02246	01923	03651	03765	01510	01723	
01867	02587	01256	02251	01927	03654	03770	01512	01726	
01866	02584	01255	02248	01924	03652	03770	01511	01724	
01864	02583	01253	02247	01924	03651	03770	01512	01724	
01870	02588	01255	02252	01928	03654	03772	01513	01728	
01869	02586	01254	02251	01927	03652	03771	01512	01727	
01863	02578	01250	02244	01922	03647	03763	01508	01722	
01863	02578	01250	02246	01923	03646	03764	01508	01722	
01864	02578	01249	02245	01922	03645	03763	01506	01720	
01857	02572	01247	02239	01916	03642	03758	01504	01716	
01856	02572	01247	02239	01914	03640	03759	01504	01714	
01861	02577	01250	02244	01917	03643	03767	01507	01717	
01857	02574	01248	02239	01913	03642	03765	01506	01714	
01853	02571	01246	02237	01911	03640	03761	01504	01713	
01857	02574	01247	02241	01914	03641	03764	01504	01714	
01856	02573	01244	02239	01914	03640	03762	01502	01714	
01851	02569	01243	02234	01911	03637	03755	01501	01712	
01855	02573	01245	02238	01914	03637	03755	01501	01713	
01859	02576	01246	02241	01917	03639	03757	01502	01715	
01855	02571	01244	02237	01914	03636	03754	01502	01713	
01855	02571	01246	02239	01915	03637	03753	01503	01713	
01859	02575	01247	02244	01917	03640	03759	01505	01715	
01856	02571	01246	02240	01916	03638	03757	01503	01714	
01854	02570	01246	02239	01916	03638	03757	01504	01714	
01860	02575	01249	02245	01921	03642	03763	01507	01717	
01862	02579	01250	02245	01922	03645	03766	01507	01720	
01861	02577	01251	02243	01922	03646	03765	01507	01720	
01866	02582	01253	02248	01927	03650	03769	01511	01724	
01869	02585	01254	02250	01928	03653	03772	01512	01724	
01865	02581	01252	02245	01924	03649	03768	01509	01721	
01863	02578	01251	02245	01922	03647	03768	01508	01719	
01867	02581	01252	02249	01925	03648	03770	01510	01721	
01863	02579	01251	02247	01922	03646	03769	01508	01718	
01860	02576	01251	02244	01920	03643	03767	01508	01718	
01865	02581	01253	02249	01924	03647	03770	01509	01721	
01867	02583	01253	02249	01925	03648	03771	01510	01722	
01862	02577	01251	02244	01920	03644	03767	01507	01718	
01862	02578	01251	02244	01919	03644	03768	01506	01718	
01864	02581	01251	02246	01921	03646	03769	01505	01719	
01858	02574	01247	02240	01901	03662	03764	01502	01715	
01855	02572	01245	02237	01899	03659	03758	01500	01712	
01859	02575	01245	02239	01902	03661	03757	01500	01714	
01857	02571	01241	02234	01899	03658	03751	01499	01712	
01849	02565	01237	02227	01893	03652	03744	01496	01709	
01850	02565	01237	02230	01907	03630	03743	01495	01708	
01849	02564	01237	02230	01906	03629	03745	01494	01707	
01843	02559	01235	02224	01901	03626	03740	01492	01704	
01845	02563	01238	02229	01903	03628	03743	01493	01706	
01849	02565	01239	02233	01905	03629	03745	01494	01707	
01849	02564	01241	02231	01904	03629	03744	01496	01708	
01846	02561	01240	02227	01900	03626	03741	01496	01708	
02050	02809	01438	02535	02163	03720	03805	01738	01917	
02353	03113	01797	02905	02561	03811	03862	02144	02246	
02682	03418	02218	03276	02989	03903	03947	02603	02625	
03041	03725	02678	03651	03418	03998	04032	03096	03039	
03409	04034	03158	04026	03863	04095	04095	03609	03473	
03570	04095	03448	04095	04042	04095	04095	03888	03709	
03639	04095	03588	04095	04083	04095	04095	04000	03832	
03695	04095	03686	04095	04095	04095	04095	04062	03919	
03713	04095	03745	04095	04095	04095	04095	04087	03973	
03723	04095	03784	04095	04095	04095	04095	04095	04011	
03749	04095	03825	04095	04095	04095	04095	04095	04045	
03759	04095	03853	04095	04095	04095	04095	04095	04068	
03751	04095	03865	04095	04095	04095	04095	04095	04079	
03763	04095	03884	04095	04095	04095	04095	04095	04088	
03777	04095	03905	04095	04095	04095	04095	04095	04095	
03767	04095	03909	04095	04095	04095	04095	04095	04095	
03766	04095	03915	04095	04095	04095	04095	04095	04095	
03783	04095	03933	04095	04095	04095	04095	04095	04095	
03782	04095	03940	04095	04095	04095	04095	04095	04095	
03773	04095	03941	04095	04095	04095	04095	04095	04095	
03789	04095	03954	04095	04095	04095	04095	04095	04095	
03796	04095	03964	04095	04095	04095	04095	04095	04095	
03781	04095	03958	04095	04095	04095	04095	04095	04095	
03784	04095	03960	04095	04095	04095	04095	04095	04095	
03793	04095	03968	04095	04095	04095	04095	04095	04095	
03777	04095	03962	04095	04095	04095	04095	04095	04095	
03769	04095	03957	04095	04095	04095	04095	04095	04095	
03785	04095	03969	04095	04095	04095	04095	04095	04095	
03783	04095	03969	04095	04095	04095	04095	04095	04095	
03774	04095	03963	04095	04095	04095	04095	04095	04095	
03787	04095	03971	04095	04095	04095	04095	04095	04095	
03795	04095	03977	04095	04095	04095	04095	04095	04095	
03780	04095	03970	04095	04095	04095	04095	04095	04095	
03784	04095	03972	04095	04095	04095	04095	04095	04095	
03797	04095	03981	04095	04095	04095	04095	04095	04095	
03787	04095	03977	04095	04095	04095	04095	04095	04095	
03781	04095	03974	04095	04095	04095	04095	04095	04095	
03797	04095	03983	04095	04095	04095	04095	04095	04095	
03797	04095	03987	04095	04095	04095	04095	04095	04095	
03788	04095	03984	04095	04095	04095	04095	04095	04095	
03802	04095	03994	04095	04095	04095	04095	04095	04095	
03813	04095	04005	04095	04095	04095	04095	04095	04095	
03802	04095	04004	04095	04095	04095	04095	04095	04095	
03806	04095	04006	04095	04095	04095	04095	04095	04095	
03820	04095	04017	04095	04095	04095	04095	04095	04095	
03809	04095	04014	04095	04095	04095	04095	04095	04095	
03803	04095	04009	04095	04095	04095	04095	04095	04095	
03819	04095	04018	04095	04095	04095	04095	04095	04095	
03820	04095	04021	04095	04095	04095	04095	04095	04095	
03811	04095	04014	04095	04095	04095	04095	04095	04095	
03827	04095	04021	04095	04095	04095	04095	04095	04095	
03843	04095	04030	04095	04095	04095	04095	04095	04095	
03837	04095	04025	04095	04095	04095	04095	04095	04095	
03846	04095	04027	04095	04095	04095	04095	04095	04095	
03867	04095	04039	04095	04095	04095	04095	04095	04095	
03863	04095	04036	04095	04095	04095	04095	04095	04095	
03854	04095	04029	04095	04095	04095	04095	04095	04095	
03866	04095	04035	04095	04095	04095	04095	04095	04095	
03865	04095	04034	04095	04095	04095	04095	04095	04095	
03847	04095	04023	04095	04095	04095	04095	04095	04095	
03855	04095	04025	04095	04095	04095	04095	04095	04095	
03866	04095	04030	04095	04095	04095	04095	04095	04095	
03854	04095	04022	04095	04095	04095	04095	04095	04095	
03851	04095	04017	04095	04095	04095	04095	04095	04095	
03865	04095	04025	04095	04095	04095	04095	04095	04095	
03856	04095	04021	04095	04095	04095	04095	04095	04095	
03843	04095	04014	04095	04095	04095	04095	04095	04095	
03854	04095	04021	04095	04095	04095	04095	04095	04095	
03857	04095	04024	04095	04095	04095	04095	04095	04095	
03845	04095	04015	04095	04095	04095	04095	04095	04095	
03851	04095	04017	04095	04095	04095	04095	04095	04095	
03863	04095	04026	04095	04095	04095	04095	04095	04095	
03855	04095	04023	04095	04095	04095	04095	04095	04095	
03853	04095	04026	04095	04095	04095	04095	04095	04095	
03871	04095	04040	04095	04095	04095	04095	04095	04095	
03869	04095	04045	04095	04095	04095	04095	04095	04095	
03861	04095	04042	04095	04095	04095	04095	04095	04095	
03873	04095	04051	04095	04095	04095	04095	04095	04095	
03877	04095	04055	04095	04095	04095	04095	04095	04095	
03861	04095	04046	04095	04095	04095	04095	04095	04095	
03863	04095	04047	04095	04095	04095	04095	04095	04095	
03874	04095	04056	04095	04095	04095	04095	04095	04095	
